adl_id,city,state,date,Type,Nature,Perpetrator,Target,Location,cityID
2142,San Diego,CA,2016-10-01,Harassment,General Antisemitism,Student,Student,Social Media,ca-san diego
2151,San Diego,CA,2016-12-01,Harassment,General Antisemitism,Student,Not Specified,Not Specified,ca-san diego
2151,San Diego,CA,2016-12-01,Cyberbullying,General Antisemitism,Student,Not Specified,Not Specified,ca-san diego
2953,San Diego,CA,2017-09-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,ca-san diego
3002,San Diego,CA,2017-11-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,ca-san diego
3009,San Diego,CA,2017-11-01,Harassment,General Antisemitism,Student,Student,In School,ca-san diego
5671,San Diego,CA,2018-02-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,ca-san diego
5671,San Diego,CA,2018-02-01,Vandalism,Oppression Connection,Not Specified,Not Specified,In School,ca-san diego
5732,San Diego,CA,2018-03-01,Harassment,General Antisemitism,Student,Student,In School,ca-san diego
6820,San Diego,CA,2018-11-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,ca-san diego
11688,San Diego,CA,2019-03-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-san diego
9599,San Diego,CA,2019-03-01,Harassment,General Antisemitism,Outsider,School,School Grounds,ca-san diego
9599,San Diego,CA,2019-03-01,Harassment,Israel,Outsider,School,School Grounds,ca-san diego
12117,San Diego,CA,2019-11-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-san diego
12244,San Diego,CA,2019-12-01,Harassment,General Antisemitism,Student,Student,In School,ca-san diego
12195,San Diego,CA,2019-12-01,Harassment,General Antisemitism,Student,Student,In School,ca-san diego
2202,San Marcos,CA,2016-07-01,Vandalism,Nazi,Not Specified,Student,Publication,ca-san marcos
10561,San Marcos,CA,2019-05-01,Harassment,General Antisemitism,Student,Student,Not Specified,ca-san marcos
10252,Los Osos,CA,2019-05-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,ca-los osos
2823,Belmont,CA,2017-03-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-belmont
424,Burlingame,CA,2016-01-01,Vandalism,Nazi,Student,Student,In School,ca-burlingame
10436,Burlingame,CA,2019-09-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,ca-burlingame
10436,Burlingame,CA,2019-09-01,Vandalism,Oppression Connection,Not Specified,Not Specified,In School,ca-burlingame
10436,Burlingame,CA,2019-09-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-burlingame
2759,Foster City,CA,2017-01-01,Bomb Threat,General Antisemitism,Not Specified,School,In School,ca-foster city
5589,Buellton,CA,2018-01-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,ca-buellton
5666,Isla Vista,CA,2018-02-01,Vandalism,General Antisemitism,Not Specified,Not Specified,School Grounds,ca-isla vista
2839,Santa Barbara,CA,2017-03-01,Harassment,General Antisemitism,Not Specified,Student,In School,ca-santa barbara
12161,Santa Ynez,CA,2019-12-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-santa ynez
1659,Mountain View,CA,2016-04-01,Harassment,General Antisemitism,Student,Not Specified,Social Media,ca-mountain view
2910,Sunnyvale,CA,2017-06-01,Literature Dump,Holocaust Denial,Not Specified,Not Specified,Off-Campus,ca-sunnyvale
6799,Fairfield,CA,2018-11-01,Harassment,General Antisemitism,Student,Student,Not Specified,ca-fairfield
10121,Fairfield,CA,2019-03-01,Vandalism,Nazi,Not Specified,Student,School Grounds,ca-fairfield
10121,Fairfield,CA,2019-03-01,Vandalism,Oppression Connection,Not Specified,Student,School Grounds,ca-fairfield
2898,Healdsburg,CA,2017-05-01,Harassment,Nazi,Student,Student,In School,ca-healdsburg
2928,Santa Rosa,CA,2017-08-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-santa rosa
2852,Conejo Valley,CA,2017-03-01,Harassment,General Antisemitism,Not Specified,Student,Not Specified,ca-conejo valley
1751,Newbury Park,CA,2016-05-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-newbury park
6094,Newbury Park,CA,2018-05-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,ca-newbury park
10440,Oak Park,CA,2019-09-01,Cyberbullying,Nazi,Student,Not Specified,In School,ca-oak park
10440,Oak Park,CA,2019-09-01,Cyberbullying,Nazi,Student,Not Specified,Social Media,ca-oak park
2822,Ventura,CA,2017-03-01,Harassment,General Antisemitism,Student,Student,Not Specified,ca-ventura
2978,Davis,CA,2017-10-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-davis
2977,Davis,CA,2017-10-01,Cyberbullying,Nazi,Not Specified,Student,Social Media,ca-davis
6666,Davis,CA,2018-10-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-davis
10495,Woodland,CA,2019-10-01,Vandalism,Nazi,Not Specified,Teacher,In School,ca-woodland
2877,Egan,CA,2017-04-01,Vandalism,Nazi,Not Specified,Not Specified,In School,ca-egan
6867,Aurora,CO,2018-11-01,Vandalism,General Antisemitism,Not Specified,Not Specified,In School,co-aurora
6867,Aurora,CO,2018-11-01,Vandalism,Oppression Connection,Not Specified,Not Specified,In School,co-aurora
6890,Aurora,CO,2018-11-01,Vandalism,Nazi,Not Specified,Not Specified,School Grounds,co-aurora
3055,Brighton,CO,2017-08-01,Performance,Nazi,Student,Student,In School,co-brighton
3038,Thornton,CO,2017-04-01,Harassment,General Antisemitism,Student,Student,In School,co-thornton
3025,Westminster,CO,2017-02-01,Harassment,General Antisemitism,Not Specified,Student,Not Specified,co-westminster
