adl_id,date,city,state,description
12292,12/1/19,Baltimore,MD,Driver through a cup of soda at a Jewish man walking to synagogue.
12293,12/1/19,Seattle,WA,"Individual was shoved and called a ""Dirty Old Jew."""
12294,12/1/19,Howell Township,NJ,"""Burn Jews"" and a swastika were spray-painted on trees in a wooded area."
12295,12/1/19,Brooklyn,NY,Swastika vandalism discovered on a park bench in Marine Park Salt Marsh Nature Center.
12296,12/1/19,Davie,FL,Jewish teenager verbally harassed with anti-Semitic messages by another player on a gaming app.
12297,12/1/19,Great Neck,NY,"Someone called a business and told them to ""go back to Auschwitz."""
12298,12/1/19,Marina del Ray,CA,"A waiter at a restaurant told a patron that Jews are a ""cancerous people."""
12299,12/1/19,West Hollywood,CA,"The Bayou WeHo, a restaurant and bar, was vandalized with graffiti that read ""Hitler was right."""
12300,12/1/19,Brooklyn,NY,Faculty and staff at Brooklyn College received an email promoting anti-Semitic literature and conspiracies.
12301,12/1/19,Lake Zurich,IL,A large swastika was spray-painted on the exterior wall at Seth Paine Elementary School.
12302,12/1/19,New York,NY,Swastika vandalism was discovered on apartment doors in an Upper West Side apartment building.
12303,12/1/19,North Merrick,NY,Swastika vandalism discovered on a school playground.
12304,12/1/19,Reston,VA,Confidential
12306,12/1/19,Boulder,CO,Swastikas were spray-painted on a storage unit outside a person's home.
12307,12/1/19,Brooklyn,NY,A Jewish man was verbally threatened and harassed with anti-Semitic slurs on the street by a three men walking by.
12308,12/1/19,Brooklyn,NY,A Jewish teenager was verbally harassed with anti-Semitic slurs and subsequently robbed of his earbuds and yarmulke at knife point while riding an MTA bus.
12309,12/1/19,Brooklyn,NY,A man and woman forcefully grabbed an orthodox Jewish woman's wig.
12310,12/1/19,Los Angeles,CA,"A restaurant received a phone call from someone who yelled, ""You fucking Jew."""
12311,12/1/19,New York,NY,An MTA flier was cut up into the shape of a swastika and affixed to an elevator in a subway station.
12312,12/1/19,New York,NY,Confidential
12313,12/1/19,Whitefish Bay,WI,A large public menorah was vandalized.
